Alcoholic Beverages_kg,Animal fats_kg,Animal Products_kg,"Aquatic Products, Other_kg",Cereals - Excluding Beer_kg,Eggs_kg,"Fish, Seafood_kg",Fruits - Excluding Wine_kg,Meat_kg,Milk - Excluding Butter_kg,Miscellaneous_kg,Offals_kg,Oilcrops_kg,Pulses_kg,Spices_kg,Starchy Roots_kg,Stimulants_kg,Sugar & Sweeteners_kg,Sugar Crops_kg,Treenuts_kg,Vegetable Oils_kg,Vegetables_kg,Vegetal Products_kg,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
4.5783,0.0377,6.08,0.0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,Cambodia,3.5,16.399999618530273,0.0030586565141640302,0.0,0.00292959927727947,0.000129057236884558,15497000.0
5.156000000000001,0.0146,2.9330000000000003,0.0,10.3112,0.0256,1.3206,7.2151,0.8759999999999999,0.6289,0.0717,0.0673,0.8658,1.4734,0.28300000000000003,11.3883,0.0234,0.6479,0.0,0.1324,0.6398,8.859,47.067,Cameroon,9.5,9.899999618530273,0.11803143093465698,0.00178208887886307,0.11091435446274199,0.00533498759305211,26598000.0
4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.4939999999999998,0.4053,5.0237,0.0,0.1439,1.3441,5.4961,33.9551,Canada,31.3,2.5,2.10996072270228,0.0542026708562451,1.9098481277821397,0.002356585493584708,38190000.0
1.7435,0.1228,6.9032,0.0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.6970000000000001,0.8936,0.0031,27.7128,0.2008,0.7022,0.0,0.0,0.7240000000000001,1.9214,43.0942,Central African Republic,6.3,59.599998474121094,0.103291925465839,0.0013043478260869599,0.10113871635610801,0.000848861283643892,4830000.0
0.8297,0.2023,12.2804,0.0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0.0,6.9910000000000005,0.0087,1.3449,0.0,0.0,0.4556,0.9141,37.7189,Chad,4.8,37.5,0.0205783018308941,0.0007406529596492269,0.0168809622563252,0.0029566866149197102,16877000.0
4.968999999999999,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0.0,0.11900000000000001,0.5435,5.3092,34.9584,Chile,28.8,2.700000047683716,3.84222907036466,0.0970467385721623,3.62619414483821,0.006360297894196199,19470000.0
2.3224,0.0866,13.424000000000001,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,China,6.6,8.5,0.0071555243388941,0.00034384281064044503,0.0066851827422569395,0.00012649878599671298,1402385000.0
3.1032,0.0814,12.821,0.0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.027999999999999997,0.0947,0.9454,3.0981,37.1774,Colombia,22.1,4.800000190734863,4.35079483860529,0.112638540571151,4.090144405792411,0.14801189224172798,49444000.0
4.9612,0.0122,6.1258,0.0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.17300000000000001,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0.0,0.0016,0.67,2.552,43.8709,Congo,8.4,40.29999923706055,0.5716745197535339,0.0145161290322581,0.379720913374411,0.17743747734686496,5518000.0
1.6982,0.1529,18.677,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0.0,0.0397,1.4363,2.9837,31.3238,Costa Rica,25.7,4.800000190734863,3.8434357268636297,0.0522793973782039,3.05578164742712,0.7353746820583059,5111000.0
